thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,up,1,0.7072592,None,0,0,0,0,0,0.0047389,,0.0026675,0.0047389,0.5103213,0.5103213,1.2301981,up,1,0.7072592,None,0,297897,1,2025-09-10_21h45.41.966,Signal Detection,,2025.1.1,60.00200407,2025-09-10 21h45.42.960953 +0530
1,0,1,up,1,0.730542,None,0,1,0,1,0,1.2435432,,1.2303248,1.2435432,1.7435927,1.7435927,2.477121,up,1,0.730542,None,0,297897,1,2025-09-10_21h45.41.966,Signal Detection,,2025.1.1,60.00200407,2025-09-10 21h45.42.960953 +0530
2,0,2,down,1,0.7026602,None,-3,2,0,2,0,2.4935036,,2.4772477,2.4935036,2.9933665,2.9769811,3.6938527,down,1,0.7026602,None,-3,297897,1,2025-09-10_21h45.41.966,Signal Detection,,2025.1.1,60.00200407,2025-09-10 21h45.42.960953 +0530
3,0,3,down,1,0.714757,None,3,3,0,3,0,3.7101333,,3.6939827,3.7101333,4.2102789,4.1948056,4.9104416,down,1,0.714757,None,3,297897,1,2025-09-10_21h45.41.966,Signal Detection,,2025.1.1,60.00200407,2025-09-10 21h45.42.960953 +0530
4,0,4,up,1,0.9065402,None,0,4,0,4,0,4.9267631,,4.9105813,4.9267631,5.426767,5.4102268,6.3268925,up,1,0.9065402,None,0,297897,1,2025-09-10_21h45.41.966,Signal Detection,,2025.1.1,60.00200407,2025-09-10 21h45.42.960953 +0530
5,0,5,down,1,0.9416645,None,4,5,0,5,0,6.3434476,,6.3270303,6.3434476,6.8435001,6.8276406,7.7772749,down,1,0.9416645,None,4,297897,1,2025-09-10_21h45.41.966,Signal Detection,,2025.1.1,60.00200407,2025-09-10 21h45.42.960953 +0530
6,0,6,down,1,0.6676544,None,-5,6,0,6,0,7.793435,,7.7774488,7.793435,8.2934793,8.276778,8.9602166,down,1,0.6676544,None,-5,297897,1,2025-09-10_21h45.41.966,Signal Detection,,2025.1.1,60.00200407,2025-09-10 21h45.42.960953 +0530
7,0,7,up,1,0.7553711,None,0,7,0,7,0,8.976358,,8.9604158,8.976358,9.4764897,9.4608781,10.2270851,up,1,0.7553711,None,0,297897,1,2025-09-10_21h45.41.966,Signal Detection,,2025.1.1,60.00200407,2025-09-10 21h45.42.960953 +0530
8,0,8,down,1,0.8957899,None,2,8,0,8,0,10.2441201,,10.2272563,10.2441201,10.7434029,10.7267283,11.6270597,down,1,0.8957899,None,2,297897,1,2025-09-10_21h45.41.966,Signal Detection,,2025.1.1,60.00200407,2025-09-10 21h45.42.960953 +0530
9,0,9,up,1,0.6657798,None,0,9,0,9,0,11.6431649,,11.6271769,11.6431649,12.1433909,12.1266269,12.7933588,up,1,0.6657798,None,0,297897,1,2025-09-10_21h45.41.966,Signal Detection,,2025.1.1,60.00200407,2025-09-10 21h45.42.960953 +0530
