word,colour,correct_res,stim_condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,key_resp.started,text.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,text.stopped,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0024151,0.0056634,0.0056634,7.6470587,space,7.6240392,None,,,,,,,,,,,,,,,,595355,1,2025-08-26_23h16.46.933,Stroop task,,2025.1.1,60.05919434,2025-08-26 23h16.48.194506 +0530
RED,red,r,C,0,0,0,r,1,0.5983771,None,0,0,0,0,7.6645301,,,,,,,,,7.6612404,7.6645301,8.1491297,8.1491297,8.1491297,8.7487032,r,1,0.5983771,None,,,,,,595355,1,2025-08-26_23h16.46.933,Stroop task,,2025.1.1,60.05919434,2025-08-26 23h16.48.194506 +0530
RED,blue,b,I,1,1,0,b,1,0.9004059,None,0,1,1,1,8.7649722,,,,,,,,,8.7489856,8.7649722,9.2483979,9.2483979,9.2483979,10.1491941,b,1,0.9004059,None,,,,,,595355,1,2025-08-26_23h16.46.933,Stroop task,,2025.1.1,60.05919434,2025-08-26 23h16.48.194506 +0530
BLUE,red,r,I,2,2,0,r,1,0.9959292,None,0,2,2,2,10.1648496,,,,,,,,,10.1522999,10.1648496,10.6487074,10.6487074,10.6487074,11.6485598,r,1,0.9959292,None,,,,,,595355,1,2025-08-26_23h16.46.933,Stroop task,,2025.1.1,60.05919434,2025-08-26 23h16.48.194506 +0530
BLUE,blue,b,C,3,3,0,b,1,0.6184703,None,0,3,3,3,11.6657956,,,,,,,,,11.648837,11.6657956,12.1495391,12.1495391,12.1495391,12.7816788,b,1,0.6184703,None,,,,,,595355,1,2025-08-26_23h16.46.933,Stroop task,,2025.1.1,60.05919434,2025-08-26 23h16.48.194506 +0530
BLUE,blue,b,C,4,0,1,b,1,0.4436937,None,1,0,4,3,12.7982972,,,,,,,,,12.7819466,12.7982972,13.2815314,13.2815314,13.2815314,13.7320969,b,1,0.4436937,None,,,,,,595355,1,2025-08-26_23h16.46.933,Stroop task,,2025.1.1,60.05919434,2025-08-26 23h16.48.194506 +0530
RED,blue,b,I,5,1,1,b,1,0.7036633,None,1,1,5,1,13.7488081,,,,,,,,,13.7358914,13.7488081,14.2315553,14.2315553,14.2315553,14.9488725,b,1,0.7036633,None,,,,,,595355,1,2025-08-26_23h16.46.933,Stroop task,,2025.1.1,60.05919434,2025-08-26 23h16.48.194506 +0530
BLUE,red,r,I,6,2,1,r,1,0.8460299,None,1,2,6,2,14.9648438,,,,,,,,,14.9503655,14.9648438,15.448203,15.448203,15.448203,16.2987282,r,1,0.8460299,None,,,,,,595355,1,2025-08-26_23h16.46.933,Stroop task,,2025.1.1,60.05919434,2025-08-26 23h16.48.194506 +0530
RED,red,r,C,7,3,1,r,1,0.5136143,None,1,3,7,0,16.3149962,,,,,,,,,16.3007419,16.3149962,16.7984045,16.7984045,16.7984045,17.3149568,r,1,0.5136143,None,,,,,,595355,1,2025-08-26_23h16.46.933,Stroop task,,2025.1.1,60.05919434,2025-08-26 23h16.48.194506 +0530
RED,red,r,C,8,0,2,r,1,0.5350925,None,2,0,8,0,17.3316786,,,,,,,,,17.3152268,17.3316786,17.814694,17.814694,17.814694,18.3652156,r,1,0.5350925,None,,,,,,595355,1,2025-08-26_23h16.46.933,Stroop task,,2025.1.1,60.05919434,2025-08-26 23h16.48.194506 +0530
