delay,freq,condition,textbox.text,,,Average estimated interval
0.7,1000,exp,450,,Expected,199.1610738
0.1,1000,exp,100,,Unexpected,271.4285714
0.7,1000,exp,500,,,
0.4,1000,exp,50,,,
0.4,1000,exp,300,,,
0.1,1000,exp,100,,,
0.4,1000,exp,100,,,
0.7,1000,exp,500,,,
0.1,1000,exp,150,,,
0.1,1000,exp,100,,,
0.7,1000,exp,300,,,
0.7,1000,exp,300,,,
0.7,1000,exp,400,,,
0.4,1000,exp,150,,,
0.4,1000,exp,200,,,
0.1,1000,exp,100,,,
0.1,1000,exp,100,,,
0.4,1000,exp,400,,,
0.1,1000,exp,50,,,
0.7,1000,exp,500,,,
0.4,1000,exp,400,,,
0.7,1000,exp,300,,,
0.1,1000,exp,150,,,
0.4,1000,exp,150,,,
0.4,1000,exp,150,,,
0.7,1000,exp,600,,,
0.1,1000,exp,100,,,
0.4,1000,exp,100,,,
0.7,1000,exp,150,,,
0.1,1000,exp,150,,,
0.7,1000,exp,500,,,
0.7,1000,exp,400,,,
0.1,1000,exp,100,,,
0.4,1000,exp,200,,,
0.1,1000,exp,200,,,
0.4,1000,exp,300,,,
0.7,1000,exp,200,,,
0.4,1000,exp,200,,,
0.7,1000,exp,100,,,
0.4,1000,exp,250,,,
0.1,1000,exp,50,,,
0.7,1000,exp,100,,,
0.1,1000,exp,100,,,
0.4,1000,exp,100,,,
0.1,1000,exp,100,,,
0.7,1000,exp,500,,,
0.4,1000,exp,200,,,
0.1,1000,exp,200,,,
0.1,1000,exp,100,,,
0.4,1000,exp,200,,,
0.1,1000,exp,50,,,
0.4,1000,exp,50,,,
0.7,1000,exp,400,,,
0.7,1000,exp,300,,,
0.1,1000,exp,50,,,
0.4,1000,exp,50,,,
0.4,1000,exp,300,,,
0.7,1000,exp,200,,,
0.1,1000,exp,100,,,
0.7,1000,exp,150,,,
0.1,1000,exp,50,,,
0.7,1000,exp,150,,,
0.4,1000,exp,50,,,
0.4,1000,exp,200,,,
0.7,1000,exp,250,,,
0.1,1000,exp,100,,,
0.4,1000,exp,100,,,
0.4,1000,exp,100,,,
0.1,1000,exp,100,,,
0.7,1000,exp,150,,,
0.7,1000,exp,400,,,
0.1,1000,exp,400,,,
0.7,1000,exp,600,,,
0.1,1000,exp,200,,,
0.1,1000,exp,200,,,
0.4,1000,exp,150,,,
0.1,1000,exp,50,,,
0.4,1000,exp,50,,,
0.4,1000,exp,100,,,
0.7,1000,exp,200,,,
0.7,1000,exp,400,,,
0.1,1000,exp,300,,,
0.4,1000,exp,400,,,
0.4,1000,exp,400,,,
0.7,1000,exp,300,,,
0.7,1000,exp,600,,,
0.4,1000,exp,100,,,
0.7,1000,exp,250,,,
0.1,1000,exp,250,,,
0.1,1000,exp,100,,,
0.7,1000,exp,100,,,
0.4,1000,exp,150,,,
0.4,1000,exp,100,,,
0.1,1000,exp,100,,,
0.4,1000,exp,100,,,
0.7,1000,exp,100,,,
0.7,1000,exp,400,,,
0.1,1000,exp,150,,,
0.1,1000,exp,150,,,
0.1,1000,exp,150,,,
0.1,1000,exp,100,,,
0.7,1000,exp,400,,,
0.1,1000,exp,200,,,
0.7,1000,exp,300,,,
0.7,1000,exp,200,,,
0.4,1000,exp,200,,,
0.4,1000,exp,400,,,
0.4,1000,exp,100,,,
0.7,1000,exp,150,,,
0.7,1000,exp,150,,,
0.1,1000,exp,100,,,
0.7,1000,exp,100,,,
0.4,1000,exp,150,,,
0.1,1000,exp,100,,,
0.4,1000,exp,50,,,
0.1,1000,exp,50,,,
0.4,1000,exp,250,,,
0.7,1000,exp,500,,,
0.1,1000,exp,50,,,
0.4,1000,exp,200,,,
0.7,1000,exp,500,,,
0.1,1000,exp,200,,,
0.7,1000,exp,300,,,
0.4,1000,exp,200,,,
0.1,1000,exp,100,,,
0.4,1000,exp,100,,,
0.7,1000,exp,150,,,
0.4,1000,exp,100,,,
0.1,1000,exp,100,,,
0.1,1000,exp,100,,,
0.7,1000,exp,300,,,
0.4,1000,exp,300,,,
0.1,1000,exp,100,,,
0.7,1000,exp,100,,,
0.4,1000,exp,200,,,
0.7,1000,exp,250,,,
0.1,1000,exp,200,,,
0.4,1000,exp,150,,,
0.7,1000,exp,400,,,
0.7,1000,exp,500,,,
0.4,1000,exp,300,,,
0.1,1000,exp,200,,,
0.1,1000,exp,100,,,
0.4,1000,exp,100,,,
0.4,1000,exp,300,,,
0.7,1000,exp,250,,,
0.4,1000,exp,250,,,
0.7,1000,exp,200,,,
