Raw Data:-,,,,Congruent,Incongruent
C RTs,I RTs,,Mean,610.4825465,729.4177107
0.5581101,0.6968007,,Std deviation,236.6721883,328.2454469
0.5272608,0.8882088,,Std error,23.66721883,32.82454469
0.5751123,0.6455637,,,,
0.4175215,0.4501833,,t-test,5.44E-05,
0.4993038,0.4718994,,,,
0.5429955,0.3938152,,,,
0.5019251,0.4283001,,,,
0.5114089,0.7227944,,,,
0.5280714,0.5522446,,,,
0.640514,0.786048,,,,
0.734286,0.9989731,,,,
0.5225906,0.8342097,,,,
0.5539283,0.4473192,,,,
0.5175395,0.4672423,,,,
0.4984248,0.7183569,,,,
0.5287049,0.8714884,,,,
0.6429504,0.6379257,,,,
1.022626,0.8680165,,,,
0.5269281,0.5604673,,,,
0.7931425,0.8535387,,,,
0.5523322,0.6751963,,,,
0.7890152,0.837916,,,,
0.4564412,0.421884,,,,
0.4870341,0.3770351,,,,
0.6134533,0.5053061,,,,
0.5303332,0.733646,,,,
0.6290695,0.6804484,,,,
0.8516562,0.6307824,,,,
1.3844518,0.8397446,,,,
0.5810098,0.5084622,,,,
1.0658742,0.6305822,,,,
0.5354206,0.5789611,,,,
0.6404896,0.9573286,,,,
1.1160551,0.6254442,,,,
0.6501026,0.9202289,,,,
0.606489,0.8858031,,,,
0.5523059,0.6711038,,,,
0.5641629,1.2523654,,,,
0.5814638,0.6655338,,,,
0.6157457,0.5673113,,,,
0.5359875,2.1346218,,,,
0.3827767,0.9470137,,,,
0.455644,0.4564909,,,,
1.8770603,0.5686466,,,,
0.4642994,0.5698378,,,,
0.3339369,0.4672575,,,,
0.5080221,0.4997804,,,,
0.4852463,0.578169,,,,
0.5305584,0.5157378,,,,
0.5198287,0.5276047,,,,
0.6401189,0.5682576,,,,
0.7497347,0.9540691,,,,
0.7758659,0.6230915,,,,
0.5877093,0.6170523,,,,
0.4726239,0.5187784,,,,
0.4682852,0.3785401,,,,
0.4448639,0.8394592,,,,
0.3964829,0.5422614,,,,
0.4709265,0.632599,,,,
0.4542554,0.6897358,,,,
0.4830256,0.689898,,,,
0.9995596,2.5481465,,,,
0.583487,0.5389759,,,,
0.552051,0.5616798,,,,
0.5222771,0.7162299,,,,
0.4466239,0.5869375,,,,
1.5393288,0.7153303,,,,
0.4749141,0.5902509,,,,
1.3795694,0.6208622,,,,
1.4004331,0.6441499,,,,
0.4530425,0.8416931,,,,
0.5855326,0.6251822,,,,
0.6381977,0.8199326,,,,
0.5066033,0.7953205,,,,
0.4758053,0.923841,,,,
0.6100679,0.4842833,,,,
0.4919316,0.4823236,,,,
0.4941701,1.9350791,,,,
0.7479014,0.9732843,,,,
0.5270164,0.7283667,,,,
0.5278768,0.7798836,,,,
0.5071505,3.0240401,,,,
1.611154,0.5289067,,,,
0.4943217,1.1293245,,,,
