Image,corr_res1,target,corr_res2,ss_compat,sr_compat,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,sr_inc,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,instructions.started,text_2.started,key_resp_3.started,instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial.started,fixation.started,image_prime.started,key_resp.started,fixation.stopped,trial.stopped,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,trial2.started,text.started,key_resp_2.started,trial2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,begin.started,text_4.started,text_4.stopped,begin.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.key_resp_2.keys,trials.key_resp_2.corr,trials.key_resp_2.rt,trials.key_resp_2.duration,instructions2.started,text_3.started,key_resp_4.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials_3.key_resp.keys,trials_3.key_resp.corr,trials_3.key_resp.rt,trials_3.key_resp.duration,trials_3.key_resp_2.keys,trials_3.key_resp_2.corr,trials_3.key_resp_2.rt,trials_3.key_resp_2.duration,trials_4.key_resp.keys,trials_4.key_resp.corr,trials_4.key_resp.rt,trials_4.key_resp.duration,trials_4.key_resp_2.keys,trials_4.key_resp_2.corr,trials_4.key_resp_2.rt,trials_4.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002838199958205223,0.006757199997082353,0.006757199997082353,4.503283099969849,space,4.483669800043572,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755668,001,2025-11-24_02h22.23.587,soloProject,,2025.1.1,60.31133921389025,2025-11-24 02h22.24.863926 +0530,
Faces/CFD-IM-731-223-N.jpg,m,lipstick,n,I,C,0,0,0,m,1,0.6464961000019684,None,n,1,0.8560943000484258,None,,0,0,0,10,,,,,,,,,,,,,4.582496299990453,,,,,,,,,4.5745157999917865,4.582496299990453,5.016414599958807,5.016414599958807,5.083081299962942,5.666898099996615,m,1,0.6464961000019684,None,5.668674899963662,6.182479999959469,6.182479999959469,7.049430699960794,n,1,0.8560943000484258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755668,001,2025-11-24_02h22.23.587,soloProject,,2025.1.1,60.31133921389025,2025-11-24 02h22.24.863926 +0530,
Faces/CFD-IF-601-519-N.jpg,n,flower,n,C,C,1,1,0,n,1,0.6519232999999076,None,n,1,0.5950464999768883,None,,0,1,1,2,,,,,,,,,,,,,7.1072294999612495,,,,,,,,,7.102318099990953,7.1072294999612495,7.550238999945577,7.550238999945577,7.616293400002178,8.216473899956327,n,1,0.6519232999999076,None,8.217814299976453,8.716030499956105,8.716030499956105,9.316104399971664,n,1,0.5950464999768883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755668,001,2025-11-24_02h22.23.587,soloProject,,2025.1.1,60.31133921389025,2025-11-24 02h22.24.863926 +0530,
Faces/CFD-IF-602-134-N.jpg,n,hammer,m,I,C,2,2,0,n,1,0.4423638000153005,None,m,1,0.5050194000359625,None,,0,2,2,4,,,,,,,,,,,,,9.371027099958155,,,,,,,,,9.366474499984179,9.371027099958155,9.816593899973668,9.816593899973668,9.883351999975275,10.266446399968117,n,1,0.4423638000153005,None,10.2677586999489,10.766093599959277,10.766093599959277,11.283213999995496,m,1,0.5050194000359625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755668,001,2025-11-24_02h22.23.587,soloProject,,2025.1.1,60.31133921389025,2025-11-24 02h22.24.863926 +0530,
Faces/CFD-IM-728-041-N.jpg,m,cigar,m,C,C,3,3,0,m,1,0.5001739000435919,None,m,1,0.5534548000432551,None,,0,3,3,7,,,,,,,,,,,,,11.337484899966512,,,,,,,,,11.332135699980427,11.337484899966512,11.783682099950965,11.783682099950965,11.850532699958421,12.284359999990556,m,1,0.5001739000435919,None,12.285847099963576,12.798903499962762,12.798903499962762,13.365951399959158,m,1,0.5534548000432551,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755668,001,2025-11-24_02h22.23.587,soloProject,,2025.1.1,60.31133921389025,2025-11-24 02h22.24.863926 +0530,
Faces/CFD-IM-728-041-N.jpg,m,football,m,C,C,4,4,0,m,1,1.617971799976658,None,m,1,1.5847037000348791,None,,0,4,4,8,,,,,,,,,,,,,13.421329199976753,,,,,,,,,13.416692600003444,13.421329199976753,13.866193199995905,13.866193199995905,13.932864099973813,15.50113239994971,m,1,1.617971799976658,None,15.502804699994158,16.015634499955922,16.015634499955922,17.616254499997012,m,1,1.5847037000348791,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755668,001,2025-11-24_02h22.23.587,soloProject,,2025.1.1,60.31133921389025,2025-11-24 02h22.24.863926 +0530,
Faces/CFD-IM-731-223-N.jpg,m,dress,n,I,C,5,5,0,m,1,0.7086161999613978,None,n,1,1.6382784000015818,None,,0,5,5,9,,,,,,,,,,,,,17.67313439998543,,,,,,,,,17.66857339994749,17.67313439998543,18.116156399948522,18.116156399948522,18.183010799984913,18.833102299948223,m,1,0.7086161999613978,None,18.83440900000278,19.33277189999353,19.33277189999353,20.982610199949704,n,1,1.6382784000015818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755668,001,2025-11-24_02h22.23.587,soloProject,,2025.1.1,60.31133921389025,2025-11-24 02h22.24.863926 +0530,
Faces/CFD-IF-602-134-N.jpg,n,bowtie,m,I,C,6,6,0,n,1,0.7838937999913469,None,m,1,0.5865113000036217,None,,0,6,6,5,,,,,,,,,,,,,21.03883539995877,,,,,,,,,21.03329739999026,21.03883539995877,21.48262089997297,21.48262089997297,21.549309999973048,22.283613199950196,n,1,0.7838937999913469,None,22.28499809995992,22.798576499975752,22.798576499975752,23.399481799977366,m,1,0.5865113000036217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755668,001,2025-11-24_02h22.23.587,soloProject,,2025.1.1,60.31133921389025,2025-11-24 02h22.24.863926 +0530,
Faces/CFD-IF-601-519-N.jpg,n,doll,n,C,C,7,7,0,n,1,0.8412358000059612,None,n,1,0.796959400002379,None,,0,7,7,1,,,,,,,,,,,,,23.45304120000219,,,,,,,,,23.448480999970343,23.45304120000219,23.89966389996698,23.89966389996698,23.965870999963954,24.74960609996924,n,1,0.8412358000059612,None,24.751552799949422,25.24860799999442,25.24860799999442,26.048779499949887,n,1,0.796959400002379,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755668,001,2025-11-24_02h22.23.587,soloProject,,2025.1.1,60.31133921389025,2025-11-24 02h22.24.863926 +0530,
Faces/CFD-IF-601-519-N.jpg,n,perfume,n,C,C,8,8,0,n,1,0.7256837000022642,None,n,1,1.335918600030709,None,,0,8,8,0,,,,,,,,,,,,,26.10550669999793,,,,,,,,,26.10020099999383,26.10550669999793,26.550014499982353,26.550014499982353,26.61584079999011,27.283853199973237,n,1,0.7256837000022642,None,27.285186299995985,27.798813399975188,27.798813399975188,29.149234999960754,n,1,1.335918600030709,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755668,001,2025-11-24_02h22.23.587,soloProject,,2025.1.1,60.31133921389025,2025-11-24 02h22.24.863926 +0530,
Faces/CFD-IF-602-134-N.jpg,n,beer,m,I,C,9,9,0,n,1,0.4930058000027202,None,m,1,0.5672989999875426,None,,0,9,9,3,,,,,,,,,,,,,29.206337699957658,,,,,,,,,29.20206669997424,29.206337699957658,29.64951789996121,29.64951789996121,29.715765199973248,30.149481799977366,n,1,0.4930058000027202,None,30.15062669996405,30.648582499998156,30.648582499998156,31.216323999979068,m,1,0.5672989999875426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755668,001,2025-11-24_02h22.23.587,soloProject,,2025.1.1,60.31133921389025,2025-11-24 02h22.24.863926 +0530,
Faces/CFD-IM-731-223-N.jpg,m,jewelry,n,I,C,10,10,0,m,1,0.5027968999929726,None,n,1,0.5398027999908663,None,,0,10,10,11,,,,,,,,,,,,,31.268974499951582,,,,,,,,,31.264364000002388,31.268974499951582,31.715736699989066,31.715736699989066,31.782279199978802,32.23308759997599,m,1,0.5027968999929726,None,32.23572359996615,32.73210919997655,32.73210919997655,33.282327499997336,n,1,0.5398027999908663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755668,001,2025-11-24_02h22.23.587,soloProject,,2025.1.1,60.31133921389025,2025-11-24 02h22.24.863926 +0530,
Faces/CFD-IM-728-041-N.jpg,m,briefcase,m,C,C,11,11,0,m,1,1.4045912000001408,None,m,1,1.1543893999769352,None,,0,11,11,6,,,,,,,,,,,,,33.33665069995914,,,,,,,,,33.331877499993425,33.33665069995914,33.782843599969056,33.782843599969056,33.8489609999815,35.200365800003055,m,1,1.4045912000001408,None,35.20161699998425,35.71530669997446,35.71530669997446,36.88243949995376,m,1,1.1543893999769352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755668,001,2025-11-24_02h22.23.587,soloProject,,2025.1.1,60.31133921389025,2025-11-24 02h22.24.863926 +0530,
